time;longitude;latitude;altitude;speed;bearing;accuracy
=60*60*16+60*28+18.817;8.305759;47.014734;500.0;0.0;0;23.0
=60*60*16+60*28+24.198;8.305782;47.014665;499.0;0.0;0;21.0
=60*60*16+60*28+25.194;8.305746;47.014619;490.0;0.0;0;14.0
=60*60*16+60*30+03.298;8.305622;47.014647;494.0;1.5;240.0;4.0
=60*60*16+60*30+04.243;8.305601;47.014642;494.0;1.5;249.0;4.0
=60*60*16+60*30+07.199;8.305515;47.014648;496.0;1.75;276.0;4.0
=60*60*16+60*30+08.205;8.305459;47.014648;497.0;3.75;268.0;4.0
=60*60*16+60*30+10.200;8.305359;47.014647;498.0;3.75;268.0;6.0
=60*60*16+60*30+11.197;8.305092;47.014626;498.0;8.0;263.0;7.0
=60*60*16+60*30+12.200;8.304985;47.01461;497.0;7.75;259.0;6.0
=60*60*16+60*30+13.193;8.304885;47.014592;498.0;7.5;256.0;6.0
=60*60*16+60*30+14.196;8.304788;47.014568;499.0;6.5;255.0;7.0
=60*60*16+60*30+15.194;8.304706;47.014554;499.0;6.5;255.0;8.0
=60*60*16+60*30+21.198;8.304632;47.014586;501.0;1.5;298.0;5.0
=60*60*16+60*30+22.203;8.304607;47.014628;501.0;2.75;339.0;4.0
=60*60*16+60*30+23.269;8.304586;47.014682;501.0;5.25;341.0;3.0
=60*60*16+60*30+24.201;8.304549;47.014753;501.0;7.5;340.0;3.9
=60*60*16+60*30+24.381;8.304549;47.014753;501.0;7.5;340.0;3.0
=60*60*16+60*30+25.203;8.304502;47.014837;501.0;10.0;338.0;3.9
=60*60*16+60*30+25.303;8.304502;47.014837;501.0;10.0;338.0;3.0
=60*60*16+60*30+26.211;8.304438;47.014936;500.0;11.75;336.0;3.9
=60*60*16+60*30+26.353;8.304438;47.014936;500.0;11.75;336.0;3.0
=60*60*16+60*30+27.193;8.304365;47.015057;499.0;13.25;337.0;3.9
=60*60*16+60*30+27.220;8.304365;47.015057;499.0;13.25;337.0;3.0
=60*60*16+60*30+28.203;8.304297;47.015189;499.0;14.75;338.0;3.9
=60*60*16+60*30+28.253;8.304297;47.015189;499.0;14.75;338.0;3.0
=60*60*16+60*30+29.193;8.30423;47.015319;498.0;15.0;339.0;3.9
=60*60*16+60*30+29.198;8.30423;47.015319;498.0;15.0;339.0;3.0
=60*60*16+60*30+30.193;8.304164;47.015449;498.0;14.75;340.0;4.0
=60*60*16+60*30+30.199;8.304164;47.015449;498.0;14.75;340.0;4.0
=60*60*16+60*30+31.193;8.304099;47.015572;498.0;14.75;340.0;5.0
=60*60*16+60*30+31.199;8.304099;47.015572;498.0;14.75;340.0;5.0
=60*60*16+60*30+32.197;8.304038;47.015681;499.0;13.75;341.0;6.0
=60*60*16+60*30+33.194;8.304007;47.015795;499.0;13.5;339.0;6.0
=60*60*16+60*30+33.198;8.304007;47.015795;499.0;13.5;339.0;6.0
=60*60*16+60*30+34.194;8.30394;47.015903;500.0;13.0;340.0;5.0
=60*60*16+60*30+34.197;8.30394;47.015903;500.0;13.0;340.0;5.0
=60*60*16+60*30+35.228;8.303874;47.015997;501.0;11.75;340.0;5.0
=60*60*16+60*30+35.254;8.303874;47.015997;501.0;11.75;340.0;5.0
=60*60*16+60*30+36.201;8.303834;47.016086;500.0;10.0;342.0;4.0
=60*60*16+60*30+37.364;8.303824;47.016161;501.0;8.75;348.0;4.0
=60*60*16+60*30+38.208;8.303815;47.016204;500.0;5.5;353.0;4.0
=60*60*16+60*30+43.248;8.303823;47.016271;499.0;4.0;15.0;3.0
=60*60*16+60*30+44.195;8.303844;47.016311;500.0;5.0;12.0;3.9
=60*60*16+60*30+45.254;8.303831;47.016358;499.0;5.25;352.0;3.0
=60*60*16+60*30+46.193;8.303783;47.016402;499.0;6.0;327.0;3.9
=60*60*16+60*30+47.345;8.303726;47.016448;498.0;6.75;322.0;4.0
=60*60*16+60*30+48.197;8.303673;47.016495;498.0;6.75;322.0;6.0
=60*60*16+60*30+48.230;8.303673;47.016495;498.0;6.75;322.0;6.0
=60*60*16+60*30+49.199;8.303657;47.01665;498.0;10.75;343.0;4.0
=60*60*16+60*30+49.356;8.303657;47.01665;498.0;10.75;343.0;4.0
=60*60*16+60*30+50.202;8.303613;47.016754;499.0;12.0;344.0;4.0
=60*60*16+60*30+50.251;8.303613;47.016754;499.0;12.0;344.0;4.0
=60*60*16+60*30+51.204;8.303588;47.01688;500.0;13.25;347.0;3.9
=60*60*16+60*30+51.253;8.303588;47.01688;500.0;13.25;347.0;3.0
=60*60*16+60*30+52.199;8.303552;47.016995;500.0;13.25;347.0;4.0
=60*60*16+60*30+52.340;8.303552;47.016995;500.0;13.25;347.0;4.0
=60*60*16+60*30+53.199;8.303505;47.017127;500.0;13.75;347.0;9.0
=60*60*16+60*30+53.283;8.303505;47.017127;500.0;13.75;347.0;9.0
=60*60*16+60*30+54.194;8.303458;47.017301;500.0;15.0;348.0;7.0
=60*60*16+60*30+54.199;8.303458;47.017301;500.0;15.0;348.0;7.0
=60*60*16+60*30+55.194;8.303431;47.017418;500.0;13.75;349.0;7.0
=60*60*16+60*30+55.198;8.303431;47.017418;500.0;13.75;349.0;7.0
=60*60*16+60*30+56.192;8.30338;47.017511;501.0;13.5;347.0;5.0
=60*60*16+60*30+56.199;8.30338;47.017511;501.0;13.5;347.0;5.0
=60*60*16+60*30+57.210;8.30335;47.017625;501.0;13.25;349.0;4.0
=60*60*16+60*30+57.264;8.30335;47.017625;501.0;13.25;349.0;4.0
=60*60*16+60*30+58.218;8.303322;47.017732;501.0;12.75;349.0;5.0
=60*60*16+60*30+58.273;8.303322;47.017732;501.0;12.75;349.0;5.0
=60*60*16+60*30+59.204;8.303297;47.017839;502.0;12.25;349.0;4.0
=60*60*16+60*30+59.295;8.303297;47.017839;502.0;12.25;349.0;4.0
=60*60*16+60*31+00.245;8.303271;47.017931;502.0;11.25;349.0;4.0
=60*60*16+60*31+01.248;8.30325;47.018018;500.0;10.5;352.0;3.0
=60*60*16+60*31+02.204;8.303249;47.018097;501.0;9.25;356.0;3.9
=60*60*16+60*31+03.249;8.303247;47.018157;502.0;7.5;2.0;3.0
=60*60*16+60*31+04.204;8.303259;47.018203;502.0;5.5;8.0;3.9
=60*60*16+60*31+06.248;8.30329;47.018281;501.0;5.25;19.0;3.0
=60*60*16+60*31+07.200;8.303298;47.018329;501.0;5.5;5.0;3.9
=60*60*16+60*31+08.241;8.303262;47.018378;501.0;5.5;324.0;3.0
=60*60*16+60*31+09.200;8.303202;47.018411;500.0;6.0;307.0;4.0
=60*60*16+60*31+10.240;8.303121;47.018402;500.0;5.75;269.0;3.0
=60*60*16+60*31+11.193;8.303045;47.018374;501.0;6.5;248.0;3.9
=60*60*16+60*31+12.203;8.302943;47.018355;501.0;8.0;251.0;3.0
=60*60*16+60*31+13.194;8.302816;47.018346;500.0;10.5;260.0;3.9
=60*60*16+60*31+13.198;8.302816;47.018346;500.0;10.5;260.0;3.0
=60*60*16+60*31+14.194;8.302662;47.01833;500.0;12.25;261.0;3.9
=60*60*16+60*31+14.200;8.302662;47.01833;500.0;12.25;261.0;3.0
=60*60*16+60*31+15.200;8.302496;47.018301;500.0;13.5;257.0;3.9
=60*60*16+60*31+15.251;8.302496;47.018301;500.0;13.5;257.0;3.0
=60*60*16+60*31+16.253;8.30232;47.018268;501.0;14.25;252.0;3.9
=60*60*16+60*31+16.300;8.30232;47.018268;501.0;14.25;252.0;3.0
=60*60*16+60*31+17.195;8.302144;47.01823;501.0;15.25;251.0;3.9
=60*60*16+60*31+17.248;8.302144;47.01823;501.0;15.25;251.0;3.0
=60*60*16+60*31+18.193;8.301951;47.018186;501.0;15.25;251.0;4.0
=60*60*16+60*31+18.200;8.301951;47.018186;501.0;15.25;251.0;4.0
=60*60*16+60*31+19.196;8.301729;47.018156;500.0;17.0;257.0;3.9
=60*60*16+60*31+19.218;8.301729;47.018156;500.0;17.0;257.0;3.0
=60*60*16+60*31+20.198;8.301513;47.018123;501.0;17.0;257.0;4.0
=60*60*16+60*31+20.252;8.301513;47.018123;501.0;17.0;257.0;4.0
=60*60*16+60*31+21.198;8.301296;47.018091;501.0;17.0;257.0;6.0
=60*60*16+60*31+21.310;8.301296;47.018091;501.0;17.0;257.0;6.0
=60*60*16+60*31+22.201;8.301001;47.018119;501.0;18.5;270.0;4.0
=60*60*16+60*31+22.251;8.301001;47.018119;501.0;18.5;270.0;4.0
=60*60*16+60*31+23.192;8.300751;47.018121;502.0;18.5;270.0;4.0
=60*60*16+60*31+23.198;8.300751;47.018121;502.0;18.5;270.0;4.0
=60*60*16+60*31+24.192;8.30051;47.018123;503.0;18.5;270.0;5.0
=60*60*16+60*31+24.197;8.30051;47.018123;503.0;18.5;270.0;5.0
=60*60*16+60*31+25.198;8.3003;47.01814;504.0;17.0;278.0;5.0
=60*60*16+60*31+26.273;8.300075;47.018156;506.0;17.0;279.0;5.0
=60*60*16+60*31+27.209;8.299865;47.018174;507.0;16.5;279.0;4.0
=60*60*16+60*31+27.263;8.299865;47.018174;507.0;16.5;279.0;4.0
=60*60*16+60*31+28.213;8.299654;47.018194;508.0;16.0;278.0;4.0
=60*60*16+60*31+28.323;8.299654;47.018194;508.0;16.0;278.0;4.0
=60*60*16+60*31+29.204;8.299465;47.018218;509.0;15.0;278.0;4.0
=60*60*16+60*31+29.258;8.299465;47.018218;509.0;15.0;278.0;4.0
=60*60*16+60*31+30.199;8.299302;47.018233;510.0;14.0;280.0;4.0
=60*60*16+60*31+30.260;8.299302;47.018233;510.0;14.0;280.0;4.0
=60*60*16+60*31+31.201;8.299134;47.018261;510.0;12.75;284.0;5.0
=60*60*16+60*31+31.254;8.299134;47.018261;510.0;12.75;284.0;5.0
=60*60*16+60*31+32.200;8.298988;47.018307;510.0;12.25;292.0;4.0
=60*60*16+60*31+32.273;8.298988;47.018307;510.0;12.25;292.0;4.0
=60*60*16+60*31+33.214;8.298843;47.018356;510.0;12.0;296.0;4.0
=60*60*16+60*31+33.248;8.298843;47.018356;510.0;12.0;296.0;4.0
=60*60*16+60*31+34.199;8.298707;47.018393;511.0;11.5;292.0;4.0
=60*60*16+60*31+34.381;8.298707;47.018393;511.0;11.5;292.0;4.0
=60*60*16+60*31+35.201;8.298574;47.018425;511.0;10.75;288.0;4.0
=60*60*16+60*31+36.250;8.298466;47.018451;505.0;9.5;285.0;3.0
=60*60*16+60*31+37.202;8.298376;47.018472;507.0;7.75;286.0;3.9
=60*60*16+60*31+41.202;8.298262;47.0185;510.0;0.75;291.0;4.0
=60*60*16+60*31+42.199;8.298226;47.018517;510.0;3.25;297.0;4.0
=60*60*16+60*31+44.241;8.298151;47.018543;510.0;3.25;297.0;7.0
=60*60*16+60*31+45.199;8.29803;47.018604;508.0;7.0;310.0;6.0
=60*60*16+60*31+46.342;8.297969;47.018654;508.0;6.75;305.0;5.0
=60*60*16+60*31+47.200;8.297892;47.018669;507.0;6.5;290.0;4.0
=60*60*16+60*31+48.337;8.2978;47.018676;506.0;6.75;277.0;4.0
=60*60*16+60*31+49.206;8.297715;47.018657;506.0;6.75;259.0;3.9
=60*60*16+60*31+50.242;8.297635;47.018623;506.0;6.75;240.0;3.0
=60*60*16+60*31+51.200;8.297573;47.018578;506.0;7.0;225.0;3.9
=60*60*16+60*31+52.242;8.297516;47.018517;507.0;7.75;211.0;3.0
=60*60*16+60*31+53.199;8.297468;47.01844;507.0;9.25;202.0;3.9
=60*60*16+60*31+53.275;8.297468;47.01844;507.0;9.25;202.0;3.0
=60*60*16+60*31+54.200;8.297413;47.018351;507.0;10.75;203.0;3.9
=60*60*16+60*31+54.605;8.297413;47.018351;507.0;10.75;203.0;3.0
=60*60*16+60*31+55.329;8.297324;47.018259;507.0;12.5;211.0;3.9
=60*60*16+60*31+55.341;8.297324;47.018259;507.0;12.5;211.0;3.0
=60*60*16+60*31+56.196;8.297223;47.018156;507.0;13.75;213.0;3.9
=60*60*16+60*31+56.210;8.297223;47.018156;507.0;13.75;213.0;3.0
=60*60*16+60*31+57.198;8.297142;47.018048;508.0;13.75;207.0;3.9
=60*60*16+60*31+57.268;8.297142;47.018048;508.0;13.75;207.0;3.0
=60*60*16+60*31+58.201;8.297106;47.017924;508.0;13.25;189.0;3.9
=60*60*16+60*31+58.253;8.297106;47.017924;508.0;13.25;189.0;3.0
=60*60*16+60*31+59.304;8.297079;47.017808;508.0;13.25;189.0;4.0
=60*60*16+60*31+59.434;8.297079;47.017808;508.0;13.25;189.0;4.0
=60*60*16+60*32+00.213;8.297052;47.017692;508.0;13.25;189.0;5.0
=60*60*16+60*32+00.220;8.297052;47.017692;508.0;13.25;189.0;5.0
=60*60*16+60*32+01.210;8.297238;47.01757;509.0;14.5;149.0;4.0
=60*60*16+60*32+02.213;8.297366;47.017463;508.0;15.5;142.0;3.9
=60*60*16+60*32+02.269;8.297366;47.017463;508.0;15.5;142.0;3.0
=60*60*16+60*32+03.193;8.297526;47.017343;507.0;17.0;138.0;3.9
=60*60*16+60*32+03.198;8.297526;47.017343;507.0;17.0;138.0;3.0
=60*60*16+60*32+04.193;8.297685;47.017216;506.0;18.5;137.0;3.9
=60*60*16+60*32+04.199;8.297685;47.017216;506.0;18.5;137.0;3.0
=60*60*16+60*32+05.194;8.297859;47.017093;504.0;19.75;136.0;3.9
=60*60*16+60*32+05.356;8.297859;47.017093;504.0;19.75;136.0;3.0
=60*60*16+60*32+06.269;8.29806;47.016968;503.0;20.5;133.0;4.0
=60*60*16+60*32+06.385;8.29806;47.016968;503.0;20.5;133.0;4.0
=60*60*16+60*32+07.211;8.298277;47.016852;501.0;21.5;131.0;3.9
=60*60*16+60*32+07.257;8.298277;47.016852;501.0;21.5;131.0;3.0
=60*60*16+60*32+08.207;8.29851;47.016738;502.0;21.75;126.0;3.9
=60*60*16+60*32+08.263;8.29851;47.016738;502.0;21.75;126.0;3.0
=60*60*16+60*32+09.193;8.298745;47.016627;502.0;22.5;126.0;3.9
=60*60*16+60*32+09.198;8.298745;47.016627;502.0;22.5;126.0;3.0
=60*60*16+60*32+10.224;8.298986;47.016504;502.0;22.75;127.0;3.9
=60*60*16+60*32+10.297;8.298986;47.016504;502.0;22.75;127.0;3.0
=60*60*16+60*32+11.268;8.299235;47.016376;502.0;23.25;125.0;3.9
=60*60*16+60*32+11.435;8.299235;47.016376;502.0;23.25;125.0;3.0
=60*60*16+60*32+12.212;8.299498;47.01626;502.0;23.5;123.0;3.9
=60*60*16+60*32+12.296;8.299498;47.01626;502.0;23.5;123.0;3.0
=60*60*16+60*32+13.192;8.299756;47.016149;503.0;23.75;122.0;3.9
=60*60*16+60*32+13.197;8.299756;47.016149;503.0;23.75;122.0;3.0
=60*60*16+60*32+14.191;8.300027;47.016032;503.0;23.75;122.0;4.0
=60*60*16+60*32+14.196;8.300027;47.016032;503.0;23.75;122.0;4.0
=60*60*16+60*32+15.196;8.30031;47.015909;503.0;24.0;123.0;7.0
=60*60*16+60*32+16.192;8.300565;47.015815;503.0;23.5;122.0;9.0
=60*60*16+60*32+16.196;8.300565;47.015815;503.0;23.5;122.0;9.0
=60*60*16+60*32+17.193;8.30082;47.015627;504.0;25.0;129.0;7.0
=60*60*16+60*32+17.197;8.30082;47.015627;504.0;25.0;129.0;7.0
=60*60*16+60*32+18.192;8.301076;47.015484;504.0;25.0;129.0;9.0
=60*60*16+60*32+18.197;8.301076;47.015484;504.0;25.0;129.0;9.0
=60*60*16+60*32+19.198;8.301333;47.015345;504.0;25.0;128.0;12.0
=60*60*16+60*32+19.267;8.301333;47.015345;504.0;25.0;128.0;12.0
=60*60*16+60*33+20.290;8.308813;47.002823;499.0;17.75;163.0;19.0
=60*60*16+60*33+21.203;8.309011;47.002752;498.0;17.0;136.0;8.0
=60*60*16+60*33+21.252;8.309011;47.002752;498.0;17.0;136.0;8.0
=60*60*16+60*33+22.190;8.309168;47.002634;497.0;17.0;136.0;6.0
=60*60*16+60*33+22.196;8.309168;47.002634;497.0;17.0;136.0;6.0
=60*60*16+60*33+23.192;8.309318;47.002517;497.0;17.25;139.0;5.0
=60*60*16+60*33+23.196;8.309318;47.002517;497.0;17.25;139.0;5.0
=60*60*16+60*33+24.200;8.309469;47.002393;495.0;17.5;139.0;5.0
=60*60*16+60*33+24.207;8.309469;47.002393;495.0;17.5;139.0;5.0
=60*60*16+60*33+25.201;8.309615;47.002264;494.0;18.0;140.0;4.0
=60*60*16+60*33+25.206;8.309615;47.002264;494.0;18.0;140.0;4.0
=60*60*16+60*33+26.202;8.309777;47.002142;495.0;18.25;140.0;4.0
=60*60*16+60*33+26.209;8.309777;47.002142;495.0;18.25;140.0;4.0
=60*60*16+60*33+27.201;8.309925;47.002008;494.0;19.0;142.0;4.0
=60*60*16+60*33+27.206;8.309925;47.002008;494.0;19.0;142.0;4.0
=60*60*16+60*33+28.202;8.310082;47.001864;493.0;19.25;142.0;4.0
=60*60*16+60*33+28.207;8.310082;47.001864;493.0;19.25;142.0;4.0
=60*60*16+60*33+29.205;8.31023;47.001725;494.0;19.25;143.0;4.0
=60*60*16+60*33+29.211;8.31023;47.001725;494.0;19.25;143.0;4.0
=60*60*16+60*33+30.193;8.310367;47.001586;495.0;19.0;145.0;3.9
=60*60*16+60*33+30.199;8.310367;47.001586;495.0;19.0;145.0;3.0
=60*60*16+60*33+31.200;8.310506;47.001445;494.0;19.25;147.0;4.0
=60*60*16+60*33+31.205;8.310506;47.001445;494.0;19.25;147.0;4.0
=60*60*16+60*33+32.219;8.310619;47.001286;493.0;19.0;149.0;3.9
=60*60*16+60*33+32.267;8.310619;47.001286;493.0;19.0;149.0;3.0
=60*60*16+60*33+33.222;8.31073;47.001132;492.0;18.5;151.0;3.9
=60*60*16+60*33+33.266;8.31073;47.001132;492.0;18.5;151.0;3.0
=60*60*16+60*33+34.217;8.310828;47.000978;491.0;18.25;153.0;3.9
=60*60*16+60*33+34.363;8.310828;47.000978;491.0;18.25;153.0;3.0
=60*60*16+60*33+35.202;8.310916;47.000834;490.0;17.75;156.0;3.9
=60*60*16+60*33+35.273;8.310916;47.000834;490.0;17.75;156.0;3.0
=60*60*16+60*33+36.192;8.310994;47.000686;491.0;17.75;159.0;3.9
=60*60*16+60*33+36.197;8.310994;47.000686;491.0;17.75;159.0;3.0
=60*60*16+60*33+37.192;8.311064;47.000536;491.0;17.75;162.0;3.9
=60*60*16+60*33+37.197;8.311064;47.000536;491.0;17.75;162.0;3.0
=60*60*16+60*33+38.192;8.311127;47.000387;492.0;17.75;167.0;3.9
=60*60*16+60*33+38.197;8.311127;47.000387;492.0;17.75;167.0;3.0
=60*60*16+60*33+39.192;8.311163;47.000225;492.0;18.25;170.0;3.9
=60*60*16+60*33+39.196;8.311163;47.000225;492.0;18.25;170.0;3.0
=60*60*16+60*33+40.191;8.311197;47.000058;492.0;18.75;172.0;3.9
=60*60*16+60*33+40.196;8.311197;47.000058;492.0;18.75;172.0;3.0
=60*60*16+60*33+41.191;8.31122;46.999887;492.0;19.0;174.0;3.9
=60*60*16+60*33+41.196;8.31122;46.999887;492.0;19.0;174.0;3.0
=60*60*16+60*33+42.192;8.31124;46.999709;493.0;19.25;176.0;3.9
=60*60*16+60*33+42.198;8.31124;46.999709;493.0;19.25;176.0;3.0
=60*60*16+60*33+43.202;8.311245;46.999546;494.0;19.0;179.0;3.9
=60*60*16+60*33+43.254;8.311245;46.999546;494.0;19.0;179.0;3.0
=60*60*16+60*33+44.191;8.311235;46.99938;494.0;18.5;182.0;3.9
=60*60*16+60*33+44.195;8.311235;46.99938;494.0;18.5;182.0;3.0
=60*60*16+60*33+45.268;8.311205;46.999223;494.0;17.75;187.0;3.9
=60*60*16+60*33+45.289;8.311205;46.999223;494.0;17.75;187.0;3.0
=60*60*16+60*33+46.217;8.311157;46.999076;495.0;17.0;190.0;3.9
=60*60*16+60*33+46.265;8.311157;46.999076;495.0;17.0;190.0;3.0
=60*60*16+60*33+47.204;8.311103;46.998936;495.0;16.25;192.0;3.9
=60*60*16+60*33+47.288;8.311103;46.998936;495.0;16.25;192.0;3.0
=60*60*16+60*33+48.212;8.311049;46.998802;495.0;15.5;193.0;3.9
=60*60*16+60*33+48.297;8.311049;46.998802;495.0;15.5;193.0;3.0
=60*60*16+60*33+49.204;8.311;46.998672;495.0;15.25;193.0;4.0
=60*60*16+60*33+49.255;8.311;46.998672;495.0;15.25;193.0;4.0
=60*60*16+60*33+50.205;8.310951;46.998534;496.0;15.25;193.0;6.0
=60*60*16+60*33+50.263;8.310951;46.998534;496.0;15.25;193.0;6.0
=60*60*16+60*33+51.199;8.310904;46.998401;495.0;15.25;193.0;6.0
=60*60*16+60*33+52.240;8.31098;46.998341;494.0;11.75;181.0;6.0
=60*60*16+60*33+53.201;8.310867;46.998263;495.0;11.0;191.0;6.0
=60*60*16+60*33+54.252;8.310798;46.99824;494.0;7.75;203.0;4.0
=60*60*16+60*33+55.199;8.310774;46.998174;495.0;7.0;200.0;4.0
=60*60*16+60*33+57.196;8.310718;46.998099;495.0;5.25;202.0;4.0
=60*60*16+60*33+58.194;8.310684;46.998048;495.0;6.25;203.0;5.0
=60*60*16+60*33+59.266;8.310627;46.997978;496.0;8.0;205.0;4.0
=60*60*16+60*34+00.199;8.310582;46.997906;497.0;9.5;197.0;4.0
=60*60*16+60*34+00.285;8.310582;46.997906;497.0;9.5;197.0;4.0
=60*60*16+60*34+01.244;8.310577;46.9978;498.0;11.0;184.0;3.9
=60*60*16+60*34+02.321;8.310577;46.9978;498.0;11.0;184.0;3.0
=60*60*16+60*34+02.359;8.310578;46.997696;499.0;11.5;180.0;3.9
=60*60*16+60*34+02.372;8.310578;46.997696;499.0;11.5;180.0;3.0
=60*60*16+60*34+03.202;8.310565;46.997578;500.0;12.25;183.0;4.0
=60*60*16+60*34+03.231;8.310565;46.997578;500.0;12.25;183.0;4.0
=60*60*16+60*34+04.200;8.310531;46.997457;501.0;13.0;188.0;4.0
=60*60*16+60*34+04.274;8.310531;46.997457;501.0;13.0;188.0;4.0
=60*60*16+60*34+05.199;8.31049;46.997342;501.0;13.0;192.0;3.9
=60*60*16+60*34+05.273;8.31049;46.997342;501.0;13.0;192.0;3.0
=60*60*16+60*34+06.200;8.310451;46.997228;502.0;13.25;195.0;3.9
=60*60*16+60*34+06.480;8.310451;46.997228;502.0;13.25;195.0;3.0
=60*60*16+60*34+07.199;8.3104;46.99711;504.0;13.5;196.0;3.9
=60*60*16+60*34+07.274;8.3104;46.99711;504.0;13.5;196.0;3.0
=60*60*16+60*34+08.192;8.310344;46.996999;505.0;13.5;197.0;3.9
=60*60*16+60*34+08.197;8.310344;46.996999;505.0;13.5;197.0;3.0
=60*60*16+60*34+09.192;8.310292;46.996909;505.0;13.75;198.0;4.0
=60*60*16+60*34+09.199;8.310292;46.996909;505.0;13.75;198.0;4.0
=60*60*16+60*34+10.195;8.310231;46.996792;508.0;13.75;200.0;3.9
=60*60*16+60*34+10.224;8.310231;46.996792;508.0;13.75;200.0;3.0
=60*60*16+60*34+11.201;8.310164;46.996672;510.0;13.75;201.0;3.9
=60*60*16+60*34+11.238;8.310164;46.996672;510.0;13.75;201.0;3.0
=60*60*16+60*34+12.250;8.310096;46.996561;511.0;13.5;203.0;3.9
=60*60*16+60*34+12.273;8.310096;46.996561;511.0;13.5;203.0;3.0
=60*60*16+60*34+13.201;8.310019;46.996454;513.0;13.5;205.0;3.9
=60*60*16+60*34+13.274;8.310019;46.996454;513.0;13.5;205.0;3.0
=60*60*16+60*34+14.231;8.309938;46.996342;514.0;13.5;207.0;3.9
=60*60*16+60*34+14.244;8.309938;46.996342;514.0;13.5;207.0;3.0
=60*60*16+60*34+15.191;8.30986;46.996238;516.0;13.25;208.0;3.9
=60*60*16+60*34+15.199;8.30986;46.996238;516.0;13.25;208.0;3.0
=60*60*16+60*34+16.191;8.309775;46.996134;517.0;13.25;208.0;3.9
=60*60*16+60*34+16.197;8.309775;46.996134;517.0;13.25;208.0;3.0
=60*60*16+60*34+17.191;8.309703;46.996028;519.0;13.25;209.0;3.9
=60*60*16+60*34+17.195;8.309703;46.996028;519.0;13.25;209.0;3.0
=60*60*16+60*34+18.191;8.309625;46.995928;520.0;13.25;210.0;3.9
=60*60*16+60*34+18.196;8.309625;46.995928;520.0;13.25;210.0;3.0
=60*60*16+60*34+19.192;8.309529;46.995828;522.0;13.0;211.0;3.9
=60*60*16+60*34+19.198;8.309529;46.995828;522.0;13.0;211.0;3.0
=60*60*16+60*34+20.192;8.309432;46.995731;523.0;13.0;213.0;3.9
=60*60*16+60*34+20.196;8.309432;46.995731;523.0;13.0;213.0;3.0
=60*60*16+60*34+21.192;8.309338;46.995637;524.0;12.5;215.0;3.9
=60*60*16+60*34+21.200;8.309338;46.995637;524.0;12.5;215.0;3.0
=60*60*16+60*34+22.192;8.309243;46.995551;525.0;12.0;216.0;3.9
=60*60*16+60*34+22.197;8.309243;46.995551;525.0;12.0;216.0;3.0
=60*60*16+60*34+23.192;8.309151;46.995467;527.0;12.0;217.0;3.9
